feature,importance
recency_days,0.3062304156895744
last_visit_days_ago,0.16416708616167938
monetary_180d,0.08493472795382184
frequency_180d,0.05174331002031884
avg_discount_pct_180d,0.04575472980684068
days_since_signup,0.043002221468213524
product_views_30d,0.041374909654135206
sessions_30d,0.038360942261118004
category_diversity_180d,0.033021519083604636
avg_rating_180d,0.020806500582886796
cart_adds_30d,0.01695282543574454
email_opens_30d,0.016311296430218926
acquisition_channel,0.015875819685863667
return_rate_180d,0.015713339471577922
avg_resolution_hours_90d,0.015622264340982867
preferred_category,0.01457479571177591
wishlist_adds_30d,0.01217274588605523
age_group,0.010568328912099858
abandoned_carts_30d,0.010334287465091081
campaign_clicks_30d,0.010056442654528187
loyalty_tier,0.008280352728847078
negative_ticket_rate_90d,0.008190087632106048
city_tier,0.007176353799376309
marketing_consent,0.00439875100644094
ticket_count_90d,0.004375946157098149
